case_id,category,color,reported_location,location_type,footfall_score,days_since_loss,max_similarity_score,similar_items_nearby_48h,recovered,days_to_recovery
1,Keys,Red,Clock Tower,Landmark,0.9,23,0.79,2,0,
2,Wallet,Blue,Bus Stop,Transit,0.75,3,0.68,1,1,5.0
3,Bottle,Red,Parking Area,Open Area,0.45,13,0.98,0,1,8.0
4,Phone,Blue,Canteen,Building,0.95,16,0.84,2,1,1.0
5,Bottle,Blue,Bus Stop,Transit,0.75,20,0.74,1,0,
6,Bag,Blue,Pathway near CSE,Pathway,0.6,18,0.36,1,0,
7,Phone,Blue,Bus Stop,Transit,0.75,13,0.54,2,0,
8,Wallet,Blue,Auditorium,Building,0.8,10,0.45,2,0,
9,Bag,Red,Library,Building,0.85,27,0.49,0,0,
10,ID Card,Red,Bus Stop,Transit,0.75,14,0.77,4,1,2.0
11,Bag,Red,Parking Area,Open Area,0.45,9,0.52,1,0,
12,Bottle,Black,Parking Area,Open Area,0.45,6,0.67,3,0,
13,Phone,White,Canteen,Building,0.95,24,0.99,3,1,5.0
14,Phone,Blue,Auditorium,Building,0.8,3,0.91,2,1,1.0
15,Bag,White,Auditorium,Building,0.8,11,0.68,1,0,
16,ID Card,Blue,Bus Stop,Transit,0.75,8,0.65,2,1,1.0
17,Keys,White,Clock Tower,Landmark,0.9,19,0.76,0,0,
18,Bottle,White,Canteen,Building,0.95,5,0.63,3,1,4.0
19,ID Card,White,Bus Stop,Transit,0.75,17,0.89,1,1,1.0
20,ID Card,Red,Canteen,Building,0.95,26,0.87,0,0,
21,ID Card,Green,Library,Building,0.85,2,0.76,1,1,1.0
22,Bottle,White,Library,Building,0.85,6,0.88,3,1,1.0
23,Bag,White,Pathway near CSE,Pathway,0.6,4,0.77,4,1,1.0
24,Wallet,White,Parking Area,Open Area,0.45,17,0.58,0,0,
25,Bottle,Green,Parking Area,Open Area,0.45,12,0.44,2,0,
26,Wallet,Silver,Pathway near CSE,Pathway,0.6,2,0.89,2,1,1.0
27,Phone,Blue,Bus Stop,Transit,0.75,5,0.55,5,1,5.0
